,name,brand,price,url,image
101,Whitening,BlanX,3.40,https://www.notino.co.uk/blanx/whitening-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//blanx/8017331051474_01-o__210205.jpg
102,Natural Toothpaste Sensitive,BEN&ANNA,5.90,https://www.notino.co.uk/benanna/natural-toothpaste-sensitive-sensitive-toothpaste/,https://cdn.notinoimg.com/list_2k//benanna/4260491220523_01-o__221101.jpg
103,Gum Protection Whitening,Meridol,4.10,https://www.notino.co.uk/meridol/dental-care-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//meridol/8718951560352_01-o__230807.jpg
104,The Mints Ginger,Marvis,3.20,https://www.notino.co.uk/marvis/ginger-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111732_01-o__171120.jpg
105,Bleaching Toothpaste for Smokers,Perl Weiss,4.20,https://www.notino.co.uk/perl-weiss/bleaching-toothpaste-for-smokers-whitening-toothpaste-for-smokers/,https://cdn.notinoimg.com/list_2k//perl_weiss/4008890008928_01__240111.jpg
106,Pronamel Junior,Sensodyne,2.30,https://www.notino.co.uk/sensodyne/pro-namel-toothpaste-junior/,https://cdn.notinoimg.com/list_2k//sensodyne/8590335006812_01-o__140401.jpg
107,Extreme Whitening,Swissdent,12.00,https://www.notino.co.uk/swissdent/extreme-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190037_01-o__121205.jpg
108,Sensitive Professional,Elmex,5.00,https://www.notino.co.uk/elmex/sensitive-professional-toothpaste-for-sensitive-teeth-73517/,https://cdn.notinoimg.com/list_2k//elmex/7610108047536_01-o__140526.jpg
109,Complete Protection Whitening,Parodontax,6.00,https://www.notino.co.uk/parodontax/complete-protection-whitening-whitening-toothpaste-with-fluoride/,https://cdn.notinoimg.com/list_2k//parodontax/5054563039095_01-o__180504.jpg
110,Kids 3+ Years,Colgate,1.90,https://www.notino.co.uk/colgate/kids-3-years-toothpaste-for-children-aged-3-6-years-with-fluoride/,https://cdn.notinoimg.com/list_2k//colgate/8718951321434_01-o__200212.jpg
111,Black,BlanX,3.40,https://www.notino.co.uk/blanx/black-whitening-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//blanx/8017331053386_01-o__210211.jpg
112,Max White Purple Reveal,Colgate,3.40,https://www.notino.co.uk/colgate/max-white-purple-reveal-refreshing-toothpaste-6843139/,https://cdn.notinoimg.com/list_2k//colgate/8718951540033_01-o__230130.jpg
113,Biosmalto Baby-Kid,Curasept,6.40,https://www.notino.co.uk/curasept/biosmalto-baby-kid-toothpaste-for-children-with-fluoride/,https://cdn.notinoimg.com/list_2k//curasept/8056746071202_01-o__220203.jpg
114,Whitening Smokers Mint,Marvis,8.50,https://www.notino.co.uk/marvis/smokers-whitening-mint-whitening-toothpaste-for-smokers/,https://cdn.notinoimg.com/list_2k//marvis/8004395111817_01-o__200211.jpg
115,Repair & Protect Extra Fresh,Sensodyne,6.40,https://www.notino.co.uk/sensodyne/repair-protect-extra-fresh-toothpaste-for-protection-of-teeth-and-gums/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103482_01-o__210908.jpg
116,Max White Expert Micellar,Colgate,4.80,https://www.notino.co.uk/colgate/max-white-expert-micellar-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/8718951411043_01-o__221125.jpg
117,Kids,Signal,2.70,https://www.notino.co.uk/signal/kids-toothpaste-for-kids/,https://cdn.notinoimg.com/list_2k//signal/8712561103077_01-o__221115.jpg
