,country,name,brand,price,currency,url,image,scraped_at
55,UK,Green Wild Strawberry Flavoured,Ecodenta,3.6,£,https://www.notino.co.uk/ecodenta/green-wild-strawberry-flavoured-kids-toothpaste-with-wild-strawberry-flavour-and-carrot-extract/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001331743_01-o__160825.jpg,2024-06-13 12:43:04
56,UK,Sensitive Professional Repair & Prevent,Elmex,5.7,£,https://www.notino.co.uk/elmex/sensitive-professional-repair-prevent-sensitive-toothpaste-525836/,https://cdn.notinoimg.com/list_2k//elmex/8718951193765_01-o__190409.jpg,2024-06-13 12:43:04
57,UK,Professional Biocalcium,Splat,4.2,£,https://www.notino.co.uk/splat/professional-biocalcium-bio-active-toothpaste-for-enamel-regeneration-and-gentle-whitening/,https://cdn.notinoimg.com/list_2k//splat/7640168930059_01-o__220908.jpg,2024-06-13 12:43:04
58,UK,Optima,Apis Natural Cosmetics,3.9,£,https://www.notino.co.uk/apis-natural-cosmetics/optima-toothpaste-with-dead-sea-minerals/,https://cdn.notinoimg.com/list_2k//apis_natural_cosmetics/5901810041113_01-o__230906.jpg,2024-06-13 12:43:04
59,UK,Professional Choice,White Glo,0.7,£,https://www.notino.co.uk/white-glo/professional-choice-whitening-toothpaste-for-travelling/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000189_01-o__210524.jpg,2024-06-13 12:43:04
60,UK,Opti-namel Seal & Strengthen,Elmex,5.6,£,https://www.notino.co.uk/elmex/opti-namel-seal-strengthen-toothpaste-dental-enamel-protection/,https://cdn.notinoimg.com/list_2k//elmex/7610108054824_01-o__230215.jpg,2024-06-13 12:43:04
61,UK,Dental Care,Weleda,3.9,£,https://www.notino.co.uk/weleda/dental-care/,https://cdn.notinoimg.com/list_2k//weleda/4001638081863_01-o__121109.jpg,2024-06-13 12:43:04
62,UK,Advanced White Charcoal,Colgate,1.7,£,https://www.notino.co.uk/colgate/advanced-white-charcoal-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//colgate/8718951253827_01-o__240229.jpg,2024-06-13 12:43:04
63,UK,Natural,Jack N’ Jill,4.8,£,https://www.notino.co.uk/jack-n-jill/natural-natural-toothpaste-for-kids-with-strawberry-flavour/,https://cdn.notinoimg.com/list_2k//jack-n-jill/9312657009017_01-o__230602.jpg,2024-06-13 12:43:04
64,UK,Natural Extracts Charcoal + White,Colgate,3.4,£,https://www.notino.co.uk/colgate/natural-extracts-charcoal-white-whitening-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//colgate/6920354822421_01-o__220801.jpg,2024-06-13 12:43:04
65,UK,Kids 0-6,Biorepair,2.7,£,https://www.notino.co.uk/biorepair/junior-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//biorepair/8017331069202_01-o__210205.jpg,2024-06-13 12:43:04
66,UK,Whitening Sensitivity Relief,Opalescence,3.3,£,https://www.notino.co.uk/opalescence/sensitivity-relief-whitening-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//opalescence/883205029430_01-o__160513.jpg,2024-06-13 12:43:04
67,UK,Caries Protection,Elmex,4.6,£,https://www.notino.co.uk/elmex/caries-protection-toothpaste-without-menthol/,https://cdn.notinoimg.com/list_2k//elmex/4007965015557_01-o__221128.jpg,2024-06-13 12:43:04
68,UK,White Detox Coconut,BlanX,3.4,£,https://www.notino.co.uk/blanx/white-detox-coconut-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//blanx/8017331071540_01-o__210205.jpg,2024-06-13 12:43:04
69,UK,The Mints Classic Strong,Marvis,7.3,£,https://www.notino.co.uk/marvis/classic-strong-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111701_01-o__171120.jpg,2024-06-13 12:43:04
70,UK,Max White White Crystals,Colgate,1.7,£,https://www.notino.co.uk/colgate/max-white-white-crystals-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/8718951313835_01-o__240229.jpg,2024-06-13 12:43:04
71,UK,Plus Parodontgel,Biorepair,4.7,£,https://www.notino.co.uk/biorepair/plus-parodontal-tooth-enamel-fortifying-toothpaste-to-treat-periodontitis/,https://cdn.notinoimg.com/list_2k//biorepair/brpprgw_ktps15_01__170410.jpg,2024-06-13 12:43:04
72,UK,Glo Express White,White Glo,5.3,£,https://www.notino.co.uk/white-glo/charcoal/,https://cdn.notinoimg.com/list_2k//white-glo/9319871002770_01-o__231109.jpg,2024-06-13 12:43:04
73,UK,Original,Truthpaste,7.4,£,https://www.notino.co.uk/truthpaste/original-natural-toothpaste/,https://cdn.notinoimg.com/list_2k//truthpaste/5060655080005_01-o__231127.jpg,2024-06-13 12:43:04
74,UK,Expert Black Whitening,Ecodenta,4.8,£,https://www.notino.co.uk/ecodenta/expert-extra-black-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001336991_01-o__160825.jpg,2024-06-13 12:43:04
75,UK,The Mints Amarelli Licorice,Marvis,3.3,£,https://www.notino.co.uk/marvis/amarelli-licorice-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111749_01-o__171120.jpg,2024-06-13 12:43:04
76,UK,O3X Toothpaste,BlanX,5.6,£,https://www.notino.co.uk/blanx/o3x-oxygen-power-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//blanx/8017331065891_01-o__190919.jpg,2024-06-13 12:43:04
77,UK,Flavour Collection,Marvis,17.4,£,https://www.notino.co.uk/marvis/marvis-flavour-collection-cosmetic-set-iii/,https://cdn.notinoimg.com/list_2k//marvis/8004395111008_01-o__190904.jpg,2024-06-13 12:43:04
78,UK,ADS DNA 705,Curasept,5.9,£,https://www.notino.co.uk/curasept/ads-dna-705-gel-toothpaste/,https://cdn.notinoimg.com/list_2k//curasept/8056746073503_01-o__240503.jpg,2024-06-13 12:43:04
79,UK,Complete Protection Whitening,Sensodyne,4.4,£,https://www.notino.co.uk/sensodyne/complete-protection-whitening-whitening-toothpaste-5023271/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563119698_01-o__220920.jpg,2024-06-13 12:43:04
80,UK,Desensitizing Enamel-Repair Shock Treatment,Biorepair,7.9,£,https://www.notino.co.uk/biorepair/desensibility-and-enamel-repair-treatment-cosmetic-set-i/,https://cdn.notinoimg.com/list_2k//biorepair/brpderw_kset10__150318.jpg,2024-06-13 12:43:04
81,UK,Whitening Mint,Marvis,7.3,£,https://www.notino.co.uk/marvis/whitening-mint-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//marvis/8004395111718_01-o__171120.jpg,2024-06-13 12:43:04
82,UK,Parodont Expert,Meridol,6.5,£,https://www.notino.co.uk/meridol/parodont-expert-toothpaste-against-gum-bleeding-and-periodontal-disease-297934/,https://cdn.notinoimg.com/list_2k//meridol/8718951132771_01-o__230807.jpg,2024-06-13 12:43:04
83,UK,Plus Pro White,Biorepair,4.7,£,https://www.notino.co.uk/biorepair/plus-pro-white-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/8017331055380_01-o__210301.jpg,2024-06-13 12:43:04
84,UK,Pro Expert Deep Clean,Oral B,2.7,£,https://www.notino.co.uk/oral-b/pro-expert-deep-clean-refreshing-toothpaste/,https://cdn.notinoimg.com/list_2k//oral-b/8700216106733_01-o__230904.jpg,2024-06-13 12:43:04
85,UK,Biomed Charcoal,Splat,3.8,£,https://www.notino.co.uk/splat/biomed-charcoal-whitening-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//splat/2800015078388_01-o__220908.jpg,2024-06-13 12:43:04
86,UK,24 h Caries Protection,Signal,1.7,£,https://www.notino.co.uk/signal/24-h-caries-protection-anti-decay-toothpaste/,https://cdn.notinoimg.com/list_2k//signal/8710522427323_01-o__221114.jpg,2024-06-13 12:43:04
87,UK,Professional Ultracomplex,Splat,4.8,£,https://www.notino.co.uk/splat/professional-ultracomplex-bio-active-toothpaste-for-complex-care-and-whitening-of-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//splat/7640168930172_01-o__220909.jpg,2024-06-13 12:43:04
88,UK,Professional Medical Herbs,Splat,4.2,£,https://www.notino.co.uk/splat/professional-medical-herbs-bio-active-toothpaste-for-protection-of-teeth-and-gums/,https://cdn.notinoimg.com/list_2k//splat/7640168930097_01-o__220908.jpg,2024-06-13 12:43:04
89,UK,3D White Cool Water,Blend-a-med,1.6,£,https://www.notino.co.uk/blend-a-med/3d-white-cool-water-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540793138_01-o__230221.jpg,2024-06-13 12:43:04
90,UK,Expert Triple Force,Ecodenta,4.1,£,https://www.notino.co.uk/ecodenta/extra-toothpaste-with-triple-effect/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001331903_01-o__160825.jpg,2024-06-13 12:43:04
91,UK,Pronamel Whitening,Sensodyne,5.0,£,https://www.notino.co.uk/sensodyne/pronamel-whitening-whitening-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//sensodyne/5999518582021_01-o__230315.jpg,2024-06-13 12:43:04
92,UK,Pronamel Daily Protection,Sensodyne,3.2,£,https://www.notino.co.uk/sensodyne/pro-namel-toothpaste-dental-enamel-protecting/,https://cdn.notinoimg.com/list_2k//sensodyne/5999518572138_01-o__221027.jpg,2024-06-13 12:43:04
93,UK,Repair & Protect Whitening,Sensodyne,5.1,£,https://www.notino.co.uk/sensodyne/repair-protect-whitening-whitening-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103680_01-o__210908.jpg,2024-06-13 12:43:04
94,UK,Protect 7 Crystal White,Blend-a-med,1.6,£,https://www.notino.co.uk/blend-a-med/protect-7-crystal-white-toothpaste-for-complete-protection-of-teeth/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540390917_01-o__220816.jpg,2024-06-13 12:43:04
95,UK,Daily White,Signal,1.4,£,https://www.notino.co.uk/signal/daily-white-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//signal/sigdlwu_ktps20__150511.jpg,2024-06-13 12:43:04
96,UK,Biomed Calcimax,Splat,3.6,£,https://www.notino.co.uk/splat/biomed-calcimax-tooth-enamel-fortifying-toothpaste-with-seaweed-extracts/,https://cdn.notinoimg.com/list_2k//splat/2800015078340_01-o__220908.jpg,2024-06-13 12:43:04
97,UK,Glo Charcoal,White Glo,4.8,£,https://www.notino.co.uk/white-glo/charcoal-deep-stain-remover-whitening-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//white-glo/9319871002169_01-o__231109.jpg,2024-06-13 12:43:04
98,UK,ADS DNA 712,Curasept,5.9,£,https://www.notino.co.uk/curasept/ads-dna-712-gel-toothpaste/,https://cdn.notinoimg.com/list_2k//curasept/8056746073497_01-o__240503.jpg,2024-06-13 12:43:04
99,UK,Sensitive Professional Gentle Whitening,Elmex,5.0,£,https://www.notino.co.uk/elmex/sensitive-professional-gentle-whitening-whitening-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//elmex/8718951070905_11-o__160804.jpg,2024-06-13 12:43:04
